Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.13      7.43     0.01    19776     0.00     0.00  Mat<float> absM<float>(Mat<float> const&)
  0.13      7.44     0.01       96     0.00     0.00  Mat<float> pooling<float>(Mat<float>, Mat<float>, int)
  0.13      7.45     0.01       17     0.00     0.00  Mat<float>::afficher()
  0.13      7.46     0.01                             float mean<float>(Mat<float>)
  0.07      7.46     0.01    68891     0.00     0.00  void homogeneousNormalization<float>(Mat<float>*)
  0.07      7.47     0.01     6542     0.00     0.00  Mat<float> Line<float>(Mat<float> const&, int)
  0.00      7.47     0.00   265388     0.00     0.00  std::floor(float)
  0.00      7.47     0.00   183254     0.00     0.00  Mat<float> operator%<float>(Mat<float> const&, Mat<float> const&)
  0.00      7.47     0.00   175226     0.00     0.00  float norme1<float>(Mat<float>)
  0.00      7.47     0.00   102780     0.00     0.00  unsigned char* cv::Mat::ptr<unsigned char>(int)
  0.00      7.47     0.00    58887     0.00     0.00  Mat<float> operatorL<float>(Mat<float> const&, Mat<float> const&)
  0.00      7.47     0.00    50592     0.00     0.00  float max<float>(Mat<float>)
  0.00      7.47     0.00    44180     0.00     0.00  Mat<float> crossProduct<float>(Mat<float> const&)
  0.00      7.47     0.00    42532     0.00     0.00  Mat<float> expMSIM3<float>(Mat<float> const&)
  0.00      7.47     0.00    42532     0.00     0.00  std::cos(float)
  0.00      7.47     0.00    42532     0.00     0.00  std::sin(float)
  0.00      7.47     0.00    42523     0.00     0.00  LSSE3<float>::r(Mat<float> const&, Mat<float> const&)
  0.00      7.47     0.00    42523     0.00     0.00  LSSE3<float>::retroproj(Mat<float> const&)
  0.00      7.47     0.00    21424     0.00     0.00  float norme2<float>(Mat<float>)
  0.00      7.47     0.00    18128     0.00     0.00  bool operator< <float>(Mat<float> const&, Mat<float> const&)
  0.00      7.47     0.00     6632     0.00     0.00  cv::Point_<int>::Point_(int, int)
  0.00      7.47     0.00     4986     0.00     0.00  cv::Vec<double, 4>::Vec()
  0.00      7.47     0.00     4986     0.00     0.00  cv::Matx<double, 4, 1>::Matx()
  0.00      7.47     0.00     4986     0.00     0.00  cv::Scalar_<double>::Scalar_(double, double, double, double)
  0.00      7.47     0.00     3271     0.00     0.00  LSSE3<float>::Jr(Mat<float> const&, Mat<float> const&)
  0.00      7.47     0.00     3271     0.00     0.00  LSSE3<float>::JrW(Mat<float> const&, Mat<float> const&, int, int, int)
  0.00      7.47     0.00     1897     0.00     0.00  cv::Mat::release()
  0.00      7.47     0.00     1897     0.00     0.00  cv::Mat::~Mat()
  0.00      7.47     0.00     1787     0.00     0.00  cv::Mat::MSize::MSize(int*)
  0.00      7.47     0.00     1787     0.00     0.00  cv::Mat::MStep::MStep()
  0.00      7.47     0.00     1735     0.00     0.00  cv::Mat::initEmpty()
  0.00      7.47     0.00     1704     0.00     0.00  cv::Mat::create(int, int, int)
  0.00      7.47     0.00     1704     0.00     0.00  cv::Mat::Mat(int, int, int)
  0.00      7.47     0.00     1648     0.00     0.00  computeEpipolarLine(Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*)
  0.00      7.47     0.00     1648     0.00     0.00  computeEpipolarLine2(Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*)
  0.00      7.47     0.00     1648     0.00     0.00  exhaustiveSearchEpipolarLine(Frame<float>*, Frame<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*, float, Mat<float>*, Mat<float>*, float)
  0.00      7.47     0.00     1648     0.00     0.00  std::abs(float)
  0.00      7.47     0.00     1522     0.00     0.00  Ranfib::doub()
  0.00      7.47     0.00      386     0.00     0.00  Mat<float>::Mat()
  0.00      7.47     0.00      210     0.00     0.00  Mat<float> product<float>(Mat<float>*, Mat<float>*)
  0.00      7.47     0.00      206     0.00     0.00  NormalRand::dev()
  0.00      7.47     0.00      194     0.00     0.00  Frame<float>::~Frame()
  0.00      7.47     0.00      160     0.00     0.00  __gnu_cxx::__normal_iterator<cv::Mat*, std::vector<cv::Mat, std::allocator<cv::Mat> > >::base() const
  0.00      7.47     0.00      120     0.00     0.00  Frame<float>::getChannel() const
  0.00      7.47     0.00      112     0.00     0.00  __gnu_cxx::__normal_iterator<cv::Mat*, std::vector<cv::Mat, std::allocator<cv::Mat> > >::__normal_iterator(cv::Mat* const&)
  0.00      7.47     0.00      107     0.00     0.00  cv::Size_<int>::Size_(int, int)
  0.00      7.47     0.00      104     0.00     0.00  cv::Mat::MStep::operator[](int)
  0.00      7.47     0.00      104     0.00     0.00  cv::Mat::MStep::operator[](int) const
  0.00      7.47     0.00       96     0.00     0.00  std::vector<cv::Mat, std::allocator<cv::Mat> >::size() const
  0.00      7.47     0.00       88     0.00     0.00  __gnu_cxx::__normal_iterator<Mat<float>*, std::vector<Mat<float>, std::allocator<Mat<float> > > >::base() const
  0.00      7.47     0.00       83     0.00     0.00  std::_Vector_base<cv::Mat, std::allocator<cv::Mat> >::_M_get_Tp_allocator()
  0.00      7.47     0.00       76     0.00     0.00  cv::Mat* std::__addressof<cv::Mat>(cv::Mat&)
  0.00      7.47     0.00       75     0.00     0.00  operator new(unsigned int, void*)
  0.00      7.47     0.00       72     0.00     0.00  Frame<float>::copyFrame(Frame<float> const&)
  0.00      7.47     0.00       72     0.00     0.00  Frame<float>::operator=(Frame<float> const&)
  0.00      7.47     0.00       72     0.00     0.00  __gnu_cxx::new_allocator<cv::Mat>::max_size() const
  0.00      7.47     0.00       72     0.00     0.00  std::vector<cv::Mat, std::allocator<cv::Mat> >::operator[](unsigned int)
  0.00      7.47     0.00       70     0.00     0.00  std::vector<cv::Mat, std::allocator<cv::Mat> >::begin()
  0.00      7.47     0.00       64     0.00     0.00  Frame<float>::Frame()
  0.00      7.47     0.00       64     0.00     0.00  __gnu_cxx::__normal_iterator<Mat<float>*, std::vector<Mat<float>, std::allocator<Mat<float> > > >::__normal_iterator(Mat<float>* const&)
  0.00      7.47     0.00       64     0.00     0.00  std::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      7.47     0.00       64     0.00     0.00  bool operator==<float>(Mat<float> const&, Mat<float> const&)
  0.00      7.47     0.00       57     0.00     0.00  Mat<float> invGJ<float>(Mat<float>, int)
  0.00      7.47     0.00       57     0.00     0.00  Mat<float> gaussj<float>(Mat<float>*, Mat<float>*, int)
  0.00      7.47     0.00       57     0.00     0.00  Frame<float>::Frame(Mat<float>, int)
  0.00      7.47     0.00       56     0.00     0.00  Ranq1::int64()
  0.00      7.47     0.00       55     0.00     0.00  Ranq1::doub()
  0.00      7.47     0.00       52     0.00     0.00  cv::Mat::Mat(cv::Mat const&)
  0.00      7.47     0.00       52     0.00     0.00  Mat<float>::swap(int, int, int, int)
  0.00      7.47     0.00       52     0.00     0.00  __gnu_cxx::__normal_iterator<cv::Mat*, std::vector<cv::Mat, std::allocator<cv::Mat> > >::difference_type __gnu_cxx::operator-<cv::Mat*, std::vector<cv::Mat, std::allocator<cv::Mat> > >(__gnu_cxx::__normal_iterator<cv::Mat*, std::vector<cv::Mat, std::allocator<cv::Mat> > > const&, __gnu_cxx::__normal_iterator<cv::Mat*, std::vector<cv::Mat, std::allocator<cv::Mat> > > const&)
  0.00      7.47     0.00       52     0.00     0.00  void std::_Destroy<cv::Mat>(cv::Mat*)
  0.00      7.47     0.00       50     0.00     0.00  std::numeric_limits<float>::epsilon()
  0.00      7.47     0.00       48     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<cv::Mat> >::max_size(std::allocator<cv::Mat> const&)
  0.00      7.47     0.00       48     0.00     0.00  std::_Vector_base<cv::Mat, std::allocator<cv::Mat> >::_M_get_Tp_allocator() const
  0.00      7.47     0.00       48     0.00     0.00  std::vector<Mat<float>, std::allocator<Mat<float> > >::size() const
  0.00      7.47     0.00       48     0.00     0.00  std::vector<cv::Mat, std::allocator<cv::Mat> >::max_size() const
  0.00      7.47     0.00       48     0.00     0.00  cv::Mat* std::__uninitialized_copy<false>::__uninit_copy<cv::Mat*, cv::Mat*>(cv::Mat*, cv::Mat*, cv::Mat*)
  0.00      7.47     0.00       48     0.00     0.00  cv::Mat* std::uninitialized_copy<cv::Mat*, cv::Mat*>(cv::Mat*, cv::Mat*, cv::Mat*)
  0.00      7.47     0.00       48     0.00     0.00  cv::Mat* std::__uninitialized_copy_a<cv::Mat*, cv::Mat*, cv::Mat>(cv::Mat*, cv::Mat*, cv::Mat*, std::allocator<cv::Mat>&)
  0.00      7.47     0.00       48     0.00     0.00  cv::Mat* std::__uninitialized_move_if_noexcept_a<cv::Mat*, cv::Mat*, std::allocator<cv::Mat> >(cv::Mat*, cv::Mat*, cv::Mat*, std::allocator<cv::Mat>&)
  0.00      7.47     0.00       48     0.00     0.00  std::pow(float, float)
  0.00      7.47     0.00       45     0.00     0.00  std::_Vector_base<Mat<float>, std::allocator<Mat<float> > >::_M_get_Tp_allocator()
  0.00      7.47     0.00       36     0.00     0.00  cv::MatExpr::~MatExpr()
  0.00      7.47     0.00       36     0.00     0.00  __gnu_cxx::new_allocator<Mat<float> >::max_size() const
  0.00      7.47     0.00       36     0.00     0.00  std::vector<Mat<float>, std::allocator<Mat<float> > >::begin()
  0.00      7.47     0.00       36     0.00     0.00  unsigned int const& std::max<unsigned int>(unsigned int const&, unsigned int const&)
  0.00      7.47     0.00       35     0.00     0.00  void std::_Destroy_aux<false>::__destroy<cv::Mat*>(cv::Mat*, cv::Mat*)
  0.00      7.47     0.00       35     0.00     0.00  std::_Vector_base<cv::Mat, std::allocator<cv::Mat> >::_M_deallocate(cv::Mat*, unsigned int)
  0.00      7.47     0.00       35     0.00     0.00  void std::_Destroy<cv::Mat*>(cv::Mat*, cv::Mat*)
  0.00      7.47     0.00       35     0.00     0.00  void std::_Destroy<cv::Mat*, cv::Mat>(cv::Mat*, cv::Mat*, std::allocator<cv::Mat>&)
  0.00      7.47     0.00       32     0.00     0.00  bool isnanM<float>(Mat<float>)
  0.00      7.47     0.00       32     0.00     0.16  LSSE3<float>::computePyramidResidualA(int)
  0.00      7.47     0.00       31     0.00     0.00  cv::Mat::Mat()
  0.00      7.47     0.00       30     0.00     0.00  Mat<float>* std::__addressof<Mat<float> >(Mat<float>&)
  0.00      7.47     0.00       28     0.00     0.00  __gnu_cxx::new_allocator<cv::Mat>::construct(cv::Mat*, cv::Mat const&)
  0.00      7.47     0.00       28     0.00     0.00  void __gnu_cxx::__alloc_traits<std::allocator<cv::Mat> >::construct<cv::Mat>(std::allocator<cv::Mat>&, cv::Mat*, cv::Mat const&)
  0.00      7.47     0.00       28     0.00     0.00  __gnu_cxx::__normal_iterator<Mat<float>*, std::vector<Mat<float>, std::allocator<Mat<float> > > >::difference_type __gnu_cxx::operator-<Mat<float>*, std::vector<Mat<float>, std::allocator<Mat<float> > > >(__gnu_cxx::__normal_iterator<Mat<float>*, std::vector<Mat<float>, std::allocator<Mat<float> > > > const&, __gnu_cxx::__normal_iterator<Mat<float>*, std::vector<Mat<float>, std::allocator<Mat<float> > > > const&)
  0.00      7.47     0.00       28     0.00     0.00  std::vector<cv::Mat, std::allocator<cv::Mat> >::insert(__gnu_cxx::__normal_iterator<cv::Mat*, std::vector<cv::Mat, std::allocator<cv::Mat> > >, cv::Mat const&)
  0.00      7.47     0.00       27     0.00     0.00  cv::MatExpr::operator cv::Mat() const
  0.00      7.47     0.00       24     0.00     0.00  void afficherMat<float>(std::string, Mat<float>*, Mat<float>*, Mat<float>*, bool, float)
  0.00      7.47     0.00       24     0.00     0.00  afficher(std::string, cv::Mat*, cv::Mat*, cv::Mat*, bool, float)
  0.00      7.47     0.00       24     0.00     0.00  __gnu_cxx::new_allocator<cv::Mat>::deallocate(cv::Mat*, unsigned int)
  0.00      7.47     0.00       24     0.00     0.00  __gnu_cxx::new_allocator<cv::Mat>::allocate(unsigned int, void const*)
  0.00      7.47     0.00       24     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<Mat<float> > >::max_size(std::allocator<Mat<float> > const&)
  0.00      7.47     0.00       24     0.00     0.00  std::_Vector_base<Mat<float>, std::allocator<Mat<float> > >::_M_get_Tp_allocator() const
  0.00      7.47     0.00       24     0.00     0.00  std::vector<Mat<float>, std::allocator<Mat<float> > >::max_size() const
  0.00      7.47     0.00       24     0.00     0.00  std::vector<cv::Mat, std::allocator<cv::Mat> >::_M_check_len(unsigned int, char const*) const
  0.00      7.47     0.00       24     0.00     0.00  std::_Vector_base<cv::Mat, std::allocator<cv::Mat> >::_M_allocate(unsigned int)
  0.00      7.47     0.00       24     0.00     0.00  Mat<float>* std::__uninitialized_copy<false>::__uninit_copy<Mat<float>*, Mat<float>*>(Mat<float>*, Mat<float>*, Mat<float>*)
  0.00      7.47     0.00       24     0.00     0.00  std::vector<cv::Mat, std::allocator<cv::Mat> >::_M_insert_aux(__gnu_cxx::__normal_iterator<cv::Mat*, std::vector<cv::Mat, std::allocator<cv::Mat> > >, cv::Mat const&)
  0.00      7.47     0.00       24     0.00     0.00  void std::_Construct<cv::Mat, cv::Mat>(cv::Mat*, cv::Mat const&)
  0.00      7.47     0.00       24     0.00     0.00  Mat<float>* std::uninitialized_copy<Mat<float>*, Mat<float>*>(Mat<float>*, Mat<float>*, Mat<float>*)
  0.00      7.47     0.00       24     0.00     0.00  Mat<float>* std::__uninitialized_copy_a<Mat<float>*, Mat<float>*, Mat<float> >(Mat<float>*, Mat<float>*, Mat<float>*, std::allocator<Mat<float> >&)
  0.00      7.47     0.00       24     0.00     0.00  Mat<float>* std::__uninitialized_move_if_noexcept_a<Mat<float>*, Mat<float>*, std::allocator<Mat<float> > >(Mat<float>*, Mat<float>*, Mat<float>*, std::allocator<Mat<float> >&)
  0.00      7.47     0.00       23     0.00     0.00  void std::_Destroy<Mat<float> >(Mat<float>*)
  0.00      7.47     0.00       21     0.00     0.00  void std::_Destroy_aux<false>::__destroy<Mat<float>*>(Mat<float>*, Mat<float>*)
  0.00      7.47     0.00       21     0.00     0.00  std::_Vector_base<Mat<float>, std::allocator<Mat<float> > >::_M_deallocate(Mat<float>*, unsigned int)
  0.00      7.47     0.00       21     0.00     0.00  void std::_Destroy<Mat<float>*>(Mat<float>*, Mat<float>*)
  0.00      7.47     0.00       21     0.00     0.00  void std::_Destroy<Mat<float>*, Mat<float> >(Mat<float>*, Mat<float>*, std::allocator<Mat<float> >&)
  0.00      7.47     0.00       18     0.00     0.00  cv::Mat::type() const
  0.00      7.47     0.00       18     0.00     0.00  cv::Mat::channels() const
  0.00      7.47     0.00       16     0.00     0.00  __gnu_cxx::new_allocator<Mat<float> >::construct(Mat<float>*, Mat<float> const&)
  0.00      7.47     0.00       16     0.00     0.00  void __gnu_cxx::__alloc_traits<std::allocator<Mat<float> > >::construct<Mat<float> >(std::allocator<Mat<float> >&, Mat<float>*, Mat<float> const&)
  0.00      7.47     0.00       16     0.00     0.00  std::vector<Mat<float>, std::allocator<Mat<float> > >::insert(__gnu_cxx::__normal_iterator<Mat<float>*, std::vector<Mat<float>, std::allocator<Mat<float> > > >, Mat<float> const&)
  0.00      7.47     0.00       14     0.00     0.00  std::vector<cv::Mat, std::allocator<cv::Mat> >::end()
  0.00      7.47     0.00       12     0.00     0.00  __gnu_cxx::new_allocator<Mat<float> >::deallocate(Mat<float>*, unsigned int)
  0.00      7.47     0.00       12     0.00     0.00  __gnu_cxx::new_allocator<Mat<float> >::allocate(unsigned int, void const*)
  0.00      7.47     0.00       12     0.00     0.00  std::vector<Mat<float>, std::allocator<Mat<float> > >::_M_check_len(unsigned int, char const*) const
  0.00      7.47     0.00       12     0.00     0.00  std::_Vector_base<Mat<float>, std::allocator<Mat<float> > >::_M_allocate(unsigned int)
  0.00      7.47     0.00       12     0.00     0.00  std::vector<Mat<float>, std::allocator<Mat<float> > >::_M_insert_aux(__gnu_cxx::__normal_iterator<Mat<float>*, std::vector<Mat<float>, std::allocator<Mat<float> > > >, Mat<float> const&)
  0.00      7.47     0.00       12     0.00     0.00  std::vector<Mat<float>, std::allocator<Mat<float> > >::end()
  0.00      7.47     0.00       11     0.00     0.00  __gnu_cxx::new_allocator<cv::Mat>::new_allocator()
  0.00      7.47     0.00       11     0.00     0.00  __gnu_cxx::new_allocator<cv::Mat>::~new_allocator()
  0.00      7.47     0.00       11     0.00     0.00  std::allocator<cv::Mat>::allocator()
  0.00      7.47     0.00       11     0.00     0.00  std::allocator<cv::Mat>::~allocator()
  0.00      7.47     0.00       11     0.00     0.00  std::_Vector_base<cv::Mat, std::allocator<cv::Mat> >::_Vector_impl::_Vector_impl()
  0.00      7.47     0.00       11     0.00     0.00  std::_Vector_base<cv::Mat, std::allocator<cv::Mat> >::_Vector_impl::~_Vector_impl()
  0.00      7.47     0.00       11     0.00     0.00  std::_Vector_base<cv::Mat, std::allocator<cv::Mat> >::_Vector_base()
  0.00      7.47     0.00       11     0.00     0.00  std::_Vector_base<cv::Mat, std::allocator<cv::Mat> >::~_Vector_base()
  0.00      7.47     0.00       11     0.00     0.00  std::vector<cv::Mat, std::allocator<cv::Mat> >::vector()
  0.00      7.47     0.00       11     0.00     0.00  std::vector<cv::Mat, std::allocator<cv::Mat> >::~vector()
  0.00      7.47     0.00        9     0.00     0.00  computeGradient(cv::Mat*)
  0.00      7.47     0.00        9     0.00     0.00  Mat<float> cv2Matp<float>(cv::Mat)
  0.00      7.47     0.00        9     0.00     0.00  __gnu_cxx::new_allocator<Mat<float> >::new_allocator()
  0.00      7.47     0.00        9     0.00     0.00  __gnu_cxx::new_allocator<Mat<float> >::~new_allocator()
  0.00      7.47     0.00        9     0.00     0.00  std::allocator<Mat<float> >::allocator()
  0.00      7.47     0.00        9     0.00     0.00  std::allocator<Mat<float> >::~allocator()
  0.00      7.47     0.00        9     0.00     0.00  std::_Vector_base<Mat<float>, std::allocator<Mat<float> > >::_Vector_impl::_Vector_impl()
  0.00      7.47     0.00        9     0.00     0.00  std::_Vector_base<Mat<float>, std::allocator<Mat<float> > >::_Vector_impl::~_Vector_impl()
  0.00      7.47     0.00        9     0.00     0.00  std::_Vector_base<Mat<float>, std::allocator<Mat<float> > >::_Vector_base()
  0.00      7.47     0.00        9     0.00     0.00  std::_Vector_base<Mat<float>, std::allocator<Mat<float> > >::~_Vector_base()
  0.00      7.47     0.00        9     0.00     0.00  std::vector<Mat<float>, std::allocator<Mat<float> > >::vector()
  0.00      7.47     0.00        9     0.00     0.00  std::vector<Mat<float>, std::allocator<Mat<float> > >::~vector()
  0.00      7.47     0.00        8     0.00     0.66  poseEstimationLS(Frame<float>*, Mat<float>*, Frame<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*)
  0.00      7.47     0.00        8     0.00     0.01  debugPose(Frame<float>*, Frame<float>*, Mat<float> const&, Mat<float> const&, Mat<float> const&, Mat<float> const&, Mat<float> const&, float)
  0.00      7.47     0.00        8     0.00     0.03  OODirectSlamSE3<float>::computePyramid(int)
  0.00      7.47     0.00        8     0.00     0.03  OODirectSlamSE3<float>::OODirectSlamSE3(Frame<float>*, Frame<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*)
  0.00      7.47     0.00        8     0.00     0.00  OODirectSlamSE3<float>::~OODirectSlamSE3()
  0.00      7.47     0.00        8     0.00     0.00  OO<float>::OO()
  0.00      7.47     0.00        8     0.00     0.00  OO<float>::~OO()
  0.00      7.47     0.00        8     0.00     0.00  Mat<float>::Mat(int, int, char)
  0.00      7.47     0.00        8     0.00     0.00  LSSE3<float>::getResidual(int)
  0.00      7.47     0.00        8     0.00     0.63  LSSE3<float>::energy(Mat<float>)
  0.00      7.47     0.00        8     0.00     0.03  LSSE3<float>::LSSE3(Frame<float>*, Frame<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*, int)
  0.00      7.47     0.00        8     0.00     0.00  LSSE3<float>::~LSSE3()
  0.00      7.47     0.00        7     0.00     0.00  void std::_Construct<Mat<float>, Mat<float> >(Mat<float>*, Mat<float> const&)
  0.00      7.47     0.00        4     0.00     0.00  bool __gnu_cxx::operator==<Mat<float>*, std::vector<Mat<float>, std::allocator<Mat<float> > > >(__gnu_cxx::__normal_iterator<Mat<float>*, std::vector<Mat<float>, std::allocator<Mat<float> > > > const&, __gnu_cxx::__normal_iterator<Mat<float>*, std::vector<Mat<float>, std::allocator<Mat<float> > > > const&)
  0.00      7.47     0.00        4     0.00     0.00  bool __gnu_cxx::operator==<cv::Mat*, std::vector<cv::Mat, std::allocator<cv::Mat> > >(__gnu_cxx::__normal_iterator<cv::Mat*, std::vector<cv::Mat, std::allocator<cv::Mat> > > const&, __gnu_cxx::__normal_iterator<cv::Mat*, std::vector<cv::Mat, std::allocator<cv::Mat> > > const&)
  0.00      7.47     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z4absMRKN2cv3MatE
  0.00      7.47     0.00        1     0.00     0.07  initializeInvDM(Frame<float>*, float)
  0.00      7.47     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      7.47     0.00        1     0.00     7.41  main10()
  0.00      7.47     0.00        1     0.00     0.00  NormalRand::NormalRand(double, double, long)
  0.00      7.47     0.00        1     0.00     0.00  Frame<float>::Frame(Frame<float> const&)
  0.00      7.47     0.00        1     0.00     0.00  Ranq1::Ranq1(long)
  0.00      7.47     0.00        1     0.00     0.00  Ranfib::Ranfib(long)
  0.00      7.47     0.00        1     0.00     0.00  std::ceil(float)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 4 byte(s) for 0.13% of 7.47 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]     99.3    0.00    7.41                 main [1]
                0.00    7.41       1/1           main10() [2]
                0.00    0.00       2/1897        cv::Mat::~Mat() [114]
-----------------------------------------------
                0.00    7.41       1/1           main [1]
[2]     99.3    0.00    7.41       1         main10() [2]
                0.00    5.29       8/8           poseEstimationLS(Frame<float>*, Mat<float>*, Frame<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*) [3]
                0.00    1.82    1648/1648        exhaustiveSearchEpipolarLine(Frame<float>*, Frame<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*, float, Mat<float>*, Mat<float>*, float) [14]
                0.00    0.08       8/8           debugPose(Frame<float>*, Frame<float>*, Mat<float> const&, Mat<float> const&, Mat<float> const&, Mat<float> const&, Mat<float> const&, float) [40]
                0.00    0.07       1/1           initializeInvDM(Frame<float>*, float) [41]
                0.00    0.06    1648/1648        computeEpipolarLine2(Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*) [43]
                0.00    0.03    1648/1648        computeEpipolarLine(Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*, Mat<float>*) [45]
                0.00    0.02    1648/132694      Frame<float>::get(Mat<float> const&) [15]
                0.00    0.02    8320/581147      Mat<float>::operator=(Mat<float> const&) [17]
                0.00    0.02      16/24          void afficherMat<float>(std::string, Mat<float>*, Mat<float>*, Mat<float>*, bool, float) [47]
                0.00    0.01    4944/254494      Mat<float> operator*<float>(Mat<float> const&, Mat<float> const&) [20]
                0.01    0.00       9/17          Mat<float>::afficher() [55]
                0.00    0.00    1664/132720      Mat<float> operator+<float>(Mat<float> const&, Mat<float> const&) [33]
                0.00    0.00   84544/206509790     Mat<float>::get(int, int) const [8]
                0.00    0.00    1696/399760      Mat<float> operator*<float>(float const&, Mat<float> const&) [34]
                0.00    0.00    3296/68891       void homogeneousNormalization<float>(Mat<float>*) [52]
